--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| PDO                                          | pdoLabel                                                                              | OOPS                                          | oopsLabel                                                           |
| <http://purl.obolibrary.org/obo/PDO_0000155> | "maize Stewart's bacterial disease"^^xsd:string                                       | <http://purl.obolibrary.org/obo/OOPS_1003101> | "Stewart's disease (bacterial wilt)"                                |
| <http://purl.obolibrary.org/obo/PDO_0000268> | "maize Aspergillus flavus ear rot fungal disease"^^xsd:string                         | <http://purl.obolibrary.org/obo/OOPS_1003069> | "Aspergillus ear and kernel rot"                                    |
| <http://purl.obolibrary.org/obo/PDO_0000254> | "maize Diplodia ear rot fungal disease"^^xsd:string                                   | <http://purl.obolibrary.org/obo/OOPS_1003013> | "Physalospora ear rot (Botryosphaeria ear rot)"                     |
| <http://purl.obolibrary.org/obo/PDO_0000254> | "maize Diplodia ear rot fungal disease"^^xsd:string                                   | <http://purl.obolibrary.org/obo/OOPS_1003012> | "Diplodia ear rot and stalk rot"                                    |
| <http://purl.obolibrary.org/obo/PDO_0000254> | "maize Diplodia ear rot fungal disease"^^xsd:string                                   | <http://purl.obolibrary.org/obo/OOPS_1003014> | "Physalospora ear rot (Botryosphaeria ear rot)"                     |
| <http://purl.obolibrary.org/obo/PDO_0000221> | "maize Sarocladium kernel rot fungal disease"^^xsd:string                             | <http://purl.obolibrary.org/obo/OOPS_1003068> | "Cephalosporium kernel rot"                                         |
| <http://purl.obolibrary.org/obo/PDO_0000221> | "maize Sarocladium kernel rot fungal disease"^^xsd:string                             | <http://purl.obolibrary.org/obo/OOPS_1003067> | "Black bundle disease"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000266> | "maize Curvularia tuberculata leaf spot fungal disease"^^xsd:string                   | <http://purl.obolibrary.org/obo/OOPS_1002934> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000266> | "maize Curvularia tuberculata leaf spot fungal disease"^^xsd:string                   | <http://purl.obolibrary.org/obo/OOPS_1002935> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000205> | "maize Doratomyces stemonitis minor ear rot fungal disease"^^xsd:string               | <http://purl.obolibrary.org/obo/OOPS_1002967> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000205> | "maize Doratomyces stemonitis minor ear rot fungal disease"^^xsd:string               | <http://purl.obolibrary.org/obo/OOPS_1002968> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000179> | "maize Gibberella stalk rot fungal disease"^^xsd:string                               | <http://purl.obolibrary.org/obo/OOPS_1003083> | "Gibberella ear and stalk rot"                                      |
| <http://purl.obolibrary.org/obo/PDO_0000179> | "maize Gibberella stalk rot fungal disease"^^xsd:string                               | <http://purl.obolibrary.org/obo/OOPS_1003082> | "Gibberella ear and stalk rot"                                      |
| <http://purl.obolibrary.org/obo/PDO_0000179> | "maize Gibberella stalk rot fungal disease"^^xsd:string                               | <http://purl.obolibrary.org/obo/OOPS_1003084> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000251> | "maize Rhizoctonia sheath spot fungal disease"^^xsd:string                            | <http://purl.obolibrary.org/obo/OOPS_1003041> | "Banded leaf and sheath spot*"                                      |
| <http://purl.obolibrary.org/obo/PDO_0000251> | "maize Rhizoctonia sheath spot fungal disease"^^xsd:string                            | <http://purl.obolibrary.org/obo/OOPS_1003042> | "Rhizoctonia root rot and stalk rot"                                |
| <http://purl.obolibrary.org/obo/PDO_0000251> | "maize Rhizoctonia sheath spot fungal disease"^^xsd:string                            | <http://purl.obolibrary.org/obo/OOPS_1003043> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000246> | "maize Microdochium zonate leaf spot fungal disease"^^xsd:string                      | <http://purl.obolibrary.org/obo/OOPS_1002960> | "Zonate leaf spot"                                                  |
| <http://purl.obolibrary.org/obo/PDO_0000267> | "maize Aspergillus niger ear rot fungal disease"^^xsd:string                          | <http://purl.obolibrary.org/obo/OOPS_1003070> | "Ear rots, minor"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000231> | "maize Setosphaeria root rot fungal disease"^^xsd:string                              | <http://purl.obolibrary.org/obo/OOPS_1002944> | "Helminthosporium root rot"                                         |
| <http://purl.obolibrary.org/obo/PDO_0000231> | "maize Setosphaeria root rot fungal disease"^^xsd:string                              | <http://purl.obolibrary.org/obo/OOPS_1002943> | "Helminthosporium root rot"                                         |
