	iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
211	OOPS:xxxxxxx	Colletotrichum acutatum Simmonds of Citrus spp.	NCBITaxon:27357	Colletotrichum acutatum Simmonds	NCBITaxon:1392817	Citrus spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
212	OOPS:xxxxxxx	C. gloeosporioides Colletotrichum gloeosporioides of Citrus spp.	NCBITaxon:1215364	Colletotrichum gloeosporioides (Penz.) Penz. & Sacc. in Penz.	NCBITaxon:1392817	Citrus spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
213	OOPS:xxxxxxx	Environmental of Citrus spp.	NCBITaxon:1168852	Environmental	NCBITaxon:1392817	Citrus spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
214	OOPS:xxxxxxx	Unknown of Citrus spp.	NCBITaxon:7540	Unknown	NCBITaxon:1392817	Citrus spp.	http://purl.obolibrary.org/obo/PO_0009001	fruit
223	OOPS:xxxxxxx	Acidovorax avena subsp. citrulli of Citrullus spp., Cucumis spp., Cucurbita spp., and  s	NCBITaxon:1549741	Acidovorax avena subsp. citrulli (Schaad et al.) Willems et al.	NCBITaxon:3653	Citrullus spp., Cucumis spp., Cucurbita spp., and  s	http://purl.obolibrary.org/obo/PO_0009001	fruit
224	OOPS:xxxxxxx	#NAME? Pseudomonas pseudoalcaligenes subsp. citrulli of Citrullus spp., Cucumis spp., Cucurbita spp., and  s	NCBITaxon:1453503	Pseudomonas pseudoalcaligenes subsp. citrulli	NCBITaxon:3653	Citrullus spp., Cucumis spp., Cucurbita spp., and  s	http://purl.obolibrary.org/obo/PO_0009001	fruit
225	OOPS:xxxxxxx	Macrophomina phaseolina of Citrullus spp., Cucumis spp., Cucurbita spp., and  s	NCBITaxon:1126212	Macrophomina phaseolina (Tassi) Goidanich	NCBITaxon:3653	Citrullus spp., Cucumis spp., Cucurbita spp., and  s	http://purl.obolibrary.org/obo/PO_0009001	fruit
226	OOPS:xxxxxxx	Choanephora cucurbitarum of Citrullus spp., Cucumis spp., Cucurbita spp., and  s	NCBITaxon:101091	Choanephora cucurbitarum (Berk. & Ravenel) Thaxt.	NCBITaxon:3653	Citrullus spp., Cucumis spp., Cucurbita spp., and  s	http://purl.obolibrary.org/obo/PO_0009001	fruit
227	OOPS:xxxxxxx	Myrothecium roridum Tode:Fr. of Citrullus spp., Cucumis spp., Cucurbita spp., and  s	NCBITaxon:62969	Myrothecium roridum Tode	NCBITaxon:3653	Citrullus spp., Cucumis spp., Cucurbita spp., and  s	http://purl.obolibrary.org/obo/PO_0009001	fruit
229	OOPS:xxxxxxx	Fusarium equiseti of Citrullus spp., Cucumis spp., Cucurbita spp., and  s	NCBITaxon:510258	Fusarium equiseti (Corda) Sacc.	NCBITaxon:3653	Citrullus spp., Cucumis spp., Cucurbita spp., and  s	http://purl.obolibrary.org/obo/PO_0009001	fruit
